Index,Noun,title,content,date,office,img,url
0,,2022학년도 후기(2023년 8월) 졸업사정 대상자 명단 공고,"2022학년도 후기(2023년 8월) 졸업사정 대상자 명단 공고
 ￭ 2022학년도 후기(2023년 8월) 졸업사정(심사) 대상자 명단을 다음과 같이 공고합니다.
졸업사정(심사)대상자 중 학칙시행세칙 제34조(졸업사정)에 의해 졸업요건이 충족된 학생에 한하여 졸업할 수 있습니다.
▶졸업요건
1. 정규 8학기이상(편입생은 4학기이상) 재학생, 수료생 중
- 2012학번 까지 : 총 이수학점 140학점 이상 취득
- 2013학번 이후 : 총 이수학점 130학점 이상 취득
2. 필수(교필, 전필) 과목의 전 학점 취득
(편입생 선수과목, 3, 4학년 전필과목 전 학점 취득)
3. 교양과정 영역별 이수(2013학번 이후 해당됨)
4. 전공과목 57학점(학부제 51학점) 이상 취득
5. 전 학년 평점평균 2.00 이상
6. 졸업인증제 영어분야 또는 SPACE인증을 통과한 자
※ 2001학년도 이후 신입생 및 2003학년도 이후 일반편입생
2015학년도 이후 학사편입생, 2014학년도 2학기 이후 순수외국인전형 입학생 적용
(북한귀순동포, 계약학과 입학생, 학군제휴 군위탁생, 2014학년도 이전 학사편입생,
2014학년도 1학기 이전 순수외국인전형 입학생 제외)
7. 해당 학부(과)별 운영내규에 의거 요구되는 졸업요건 충족
 ￭ 개인별 성적 취득현황 확인방법
가. 종합정보시스템>학사시스템>학부 졸업정보>교육과정관리시스템에서 안내사항을 확인 한다.
나. 안내사항 더블클릭→ 팝업창으로 [졸업 및 교과이수 조회 안내]에서 상세정보를 확인 한다.
다. 필수취득조회,전공이수학점조회,복수/부전공 조회 등 개인별 성적취득현황을 확인 한다.
    복수/부전공은 필수과목 조회만 가능하므로 상세한 이수현황은 본인이 개별적으로 확인해야 한다.
라. 본인이 알고 있는 내용과 상이할 경우 안내사항의 문의처로 확인한다.
마. 졸업 미충족 요건 및 항목별 취득현황은 본인의 성적 취득 사항에 따라 변동 될 수 있으므로 유의하시기 바랍니다. 
     졸업확정은 졸업사정 후 결정되며 졸업 미충족 요건은 참고사항이므로 유의하시기 바랍니다.
￭ 졸업사정(심사) 대상자 명단은 첨부파일에서 확인하여 주시기 바라며. 졸업사정 대상자 중 누락된 학생이 있으면 교무팀으로 문의하여 주시기 바랍니다.
 ￭ 종합정보시스템상에 본인의 사진이 미등재된 경우 학적부 원본에 사진이 미 부착되므로 2023년 7월까지 반드시 교무팀 방문제출 또는 
kyomu@kau.ac.kr로 사진을 제출하여 주시기 바랍니다.
 ※주의 : 별첨된 졸업사정대상자는 졸업심사대상자일 뿐 졸업확정자는 아니며 졸업확정자에
대한 공지는 졸업사정 후 2023년 8월 초 다시 공지될 예정이오니 착오 없으시기 바랍니다.
 ￭ 졸업인증제를 미통과한 졸업사정 대상자는 아래의 일정을 참고하여 반드시 해당 성적표를 졸업인증제 신청 시스템으로 제출하여 주시기 바랍니다. 
  (미제출시 졸업불가)
1차 접수기간
→
2차 접수기간
→
3차 마감일
2023.5.31.(화)~
2023.6.13.(화)
2023.6.16.(금)~
2023.7.4(화)
2023.7.6.(목)~
2023.7.20.(목)
졸업인증제 신청 및 현황은 종합정보시스템>학사시스템>학부졸업정보>졸업인증제 신청 및 현황에서 확인하실 수 있으며, 본인이
알고 있는 내용과 상이할 경우 교무팀으로 문의하여 주시기 바랍니다.

￭ 조기졸업신청자는 마지막학기 장학금 사정대상자에서 제외되므로 조기졸업을 희망하지 않는 경우 조기졸업 취소원을 장학금 배정시기 전에 제출하여야 합니다.
 ￭ 졸업대상자 중 국가기술자격증 취득자는 종합정보시스템에 입력하여 주시기 바랍니다.
- 입력방법 : 종합정보시스템>학사시스템>학부졸업정보>국가기술자격증입력
- 입력내용 : 자격증발급번호, 자격증명, 발급기관명, 취득일자
 ￭ 기타안내
- 졸업불가로 처리된 자는 다음 학기 수강신청 및 등록금을 납부하여야하며 세부내용은 2023년 1월에 일반공지 
“등록기간 및 방법안내” 참고요망
- 졸업불가자 중 다음 학기 휴학희망자는 졸업식날 이후로 휴학신청하여야 하며,
2023년 8월 졸업희망자는 2023학년도 1학기 재학상태여야만 가능합니다.(2024년 2월 졸업희망자는 2023학년도 2학기에 재학상태여야 함)
- 졸업은 재학상태에서만 가능하므로 졸업희망학기에는 복학하여야 합니다.
  ￭ 문의처 : 교무팀 02-300-0012, 0016
  2023.05
 교 무 처 장","작성일
2023-06-02","작성자
소프트웨어학과",[],http://college.kau.ac.kr/web/pages/gc911b.do
1,,2023학년도 하계방학 현장실습학기제 실시 안내,"2023학년도 하계단기현장실습과목(전공선택.3학점)에 관심있는 학생들은 이번주 금요일(5/26일)까지 wess.kau.ac.kr 시스템을 통해서 apply할 수 있으니 등록된 기업의 내용과 조건을 살펴보시고 신청하시기 바랍니다.
관련하여 질문이 있으시면 일자리센터 안승준선생(02-300-0027)이나 김형래교수(010-3163-4476) 문의해 주시기 바랍니다.


■ 학생 접수기간 : 2023.5.22(월) ~ 5.28(일) 23:59까지
■ 모든 절차는 현장실습관리시스템(WESS)에서 진행
★ 자기소개서/이력서 작성 시 대학일자리센터 홈페이지 상단의 「상담」을 통해 자기소개서 첨삭 가능","작성일
2023-05-23","작성자
소프트웨어학과",[],http://college.kau.ac.kr/web/pages/gc911b.do
2,,2023년도 코드트리(CODE TREE) 사용법 공지,"SW중심대학사업단에서 코드트리 서비스를 통한 학생들의 프로그래밍 학습 및 코등테스트 준비 활동을 지원합니다 
 알고리즘 유형과 문제 난이도에 따른 다양한 종류의 문제가 제공되고 실시간 자동채점이 이루어지며, 알고리즘 해설 및 주요 기업 코테 기출문제 등 차별화된 콘텐츠가 체계적으로 갖추어져 있습니다.
 항공대 학생 누구나 코드트리에 가입해서 코딩테스트 준비를 할 수 있도록 했으니, 첨부한 가입 절차 안내에 따라 가입해 이용하시기 바랍니다. 
  1. 참여대상: 교내 재학생 누구나
2. 운영기간: ~ 2024. 2. 4.
3. 코드트리 홈페이지:  https://www.codetree.ai/landing
4. 참여방법 : 코드트리 홈페이지에서 회원가입 후 ‘개인정보 수정’ 페이지에서 학생 인증 완료하여 사용 (※자세한 내용은 [붙임 1] 파일 참조)
    (※학생 인증은 교내 이메일 주소(@kau.kr)를 통하여 인증 가능)
5. 문의사항:  SW중심대학사업단 (☎02-300-0469)
  붙임 1. 코드트리 라이센스 이용 인증 방법 안내문 1부.","작성일
2023-04-28","작성자
소프트웨어학과",[],http://college.kau.ac.kr/web/pages/gc911b.do
3,,소프트웨어학과 운영 내규 공지,"소프트웨어학과 운영 내규입니다.
참고 하시기 바랍니다. ","작성일
2022-11-22","작성자
소프트웨어학과",[],http://college.kau.ac.kr/web/pages/gc911b.do
4,,졸업요건 및 장학생 선발 기준 안내,"□ 전공 졸업요건

학부(과)
학번구분
학칙/학칙 시행세칙
학부 운영내규
비고
졸업학점
편입생
교양이수학점
전공학점
졸업학점
(편입생제외)
(전필+전선)
소프트웨어학과
2012 및 이전
140
70
교양필수
60학점
(4학년 전공선택 2과목이상 이수,
단, 인턴쉽 과목은 1과목으로만 인정 )

2013 ~ 2017
130
65
19
2018
65
37
학번구분
졸업학점
교양이수학점
단일전공
다전공
비고
(편입생제외)
심화전공
복수전공
부전공
연계.융합전공
2019
130
37
69
87
69
81
2020 ~
39
2012 및 이후 4학년 전공선택 2과목 이상 이수
(단, 인턴쉽 과목은 1과목으로만 인정)
2014 및 이전 졸업인증제 기준점수 토익 600점
2015 및 이후 졸업인증제 기준점수 토익 650점
2018 및 이후 SPACE인증 5개 분야 중 2개 이상 인증 취득
(단, '글로벌소통역량인증(S)'은 필수 인증 취득)
(단, 편입생 적용은 2016학번부터 적용)

□ 졸업이수 교양학점
※ 자세한 사항은 홈페이지 참고 : http://college.kau.ac.kr/web/pages/gc51336h.do
 □ 졸업인증제도
※ 자세한 사항은 홈페이지 참고 : http://kau.ac.kr/web/pages/gc40674h.do
 
☛ 교내 장학생 선발 기준
1) 장학금 수혜 자격
   가. 직전학기 총 이수학점이 12학점 이상이어야 함.
   나. 전공과목의 이수학점 기준 이상
      - 2학년(12학점), 3학년(12학점), 4학년(9학점)
   다. 전공과목 재수강 학점 포함 됨.
  2) 동점자 처리 기준
   ① 전공 평점이 높은 자(단, 전공평점이 동일한 경우 전공필수, 전공선택의 평점이 높은 자)
   ② 전공 이수학점이 많은 자
   ③ 총 이수학점이 많은 자
   ④ 누적평점이 높은 자","작성일
2020-10-19","작성자
admin",[],http://college.kau.ac.kr/web/pages/gc911b.do
5,,[무료컨퍼런스] DO-178/UAM/AAM/Multicore 인증 사례 및 기술 트랜드 SW Conference 2023 by MDS인텔리전스,"본 메일은 정보통신망이용촉진 및 정보보호 등에 관한 법률에 의거, 메일수신에 동의하신 분에게만 발송되는 메일입니다.
MDS인텔리전스 E-mail의 수신을 원하지 않으시면 수신거부 를 눌러주시기 바랍니다.
(주) MDS 인텔리전스 
113487 경기도 성남시 분당구 판교로228번길 17, 판교세븐벤처밸리 2단지 1동 9층   Tel 031-601-4006 / Fax 031-601-4013
/ 개인정보관리책임부서: 경영지원실
Copyright 2020. MDS Intelligence Inc. All rights reserved.","작성일
2023-05-23","작성자
소프트웨어학과",[],http://college.kau.ac.kr/web/pages/gc911b.do
6,,보잉코리아_Internship 홍보,"지원기간: ~2023년 5월 19일 (금)
인턴기간: 2023년 7월 3일 ~ 8월 31일

Intern_Machine Learning Researcher
https://lnkd.in/dFjkidFG
Intern_Software Engineer
https://lnkd.in/dkKhnd8M
Intern_Training Solutions
https://lnkd.in/dir-Y_J5","작성일
2023-05-04","작성자
소프트웨어학과",[],http://college.kau.ac.kr/web/pages/gc911b.do
7,,2023학년도 비교과프로그램 가이드북,"2023학년도 비교과프로그램 가이드북 제작에 따라 신입생 및 재학생들이 비교과교육과정에 대한 이해와
비교과프로그램 참여 계획에 활용하시기 바랍니다.","작성일
2023-04-28","작성자
소프트웨어학과",[],http://college.kau.ac.kr/web/pages/gc911b.do
8,,㈜파수와의 산학협력을 위한 미래전략 세미나 개최,"㈜파수와의 산학협력을 위한 미래전략 세미나 개최

2023. 4. 18 ㈜파수와 본교간의 산학협력 체결을 기념하여 두 기관간의 상호간 협력 분야에 대한 미래전략 세미나를
다음과 같이 개최하오니 관심 있는 분들의 많은 참석 바랍니다.
                                                                    -  다      음 -
  1. 목 적 : 본교의 산학R&D, 현장실습, 취업 및 공동연구 분야의 산학협력 강화를 위한 상호 이해와 인지도 제고
2. 주 제 : (주)파수 솔루션 및 미래전략 세미나
3. 일 시 : 2023. 5. 17(수) 16:00 – 17:00
4. 장 소 : Vision Hall(항공우주센터 2층)
5. 일 정
    - 16:00 ~ 16:20 ㈜파수의 협업 솔루션과 클라우드 서비스 (김광훈 수석)
    - 16:20 ~ 16:40 ㈜파수의 문서 보안 및 개인 정보 보호 솔루션 (오민석 수석)
    - 16:40 ~ 17:00 ㈜파수 회사 소개 및 기술 방향 - 빅데이터와 AI를 중심으로(윤경구 전무)
    - 17:00 ~ Q&A
    * 별첨 : ㈜파수 회사소개 자료 1부. 끝.","작성일
2023-04-26","작성자
소프트웨어학과",[],http://college.kau.ac.kr/web/pages/gc911b.do
9,,2023 Purdue Univ. 캡스톤 디자인 연수 프로그램,"과학기술정보통신부와 IITP에서 SW 중심대학 사업 참여대학 학부생을 대상으로 ""2023년 K-SW 스퀘어 가을 프로그램""을 아래와 같이 추진할 예정입니다. 2023년 K-SW스퀘어 가을 프로그램 미국 인디애나 주 퍼듀대학교와 함께 진행하는 캡스톤 디자인 중심 프로그램입니다. 관심 있는 학생분들의 많은 지원 바랍니다. 
 ■ 프로그램 명: 2023년 K-SW스퀘어 가을 프로그램 
 ■ 기간 및 장소
  - 2023년 9월 4일 - 12월 22일(총 16주) 
  - 미 인디애나 주 퍼듀대학교 K-SW 스퀘어 시설
 ■ 교육 내용
  - 캡스톤 디자인 프로젝트
  - 기술 세미나
  - 전공 이론 및 영어 교육
  ※ 학점 인정 여부는 내부 협의 진행중

■ 참가 비용: 무료(16,000달러 전액 지원)
  ※ 벌점 누적으로 인해 프로그램 이수를 인정할 수 없는 경우 반환해야 할 수 있음
 ■ 참여 방법 
  - 지원 자격: AI융합대학 소속 학부생 3, 4학년 
  - 제출 서류: 지원서 양식(첨부파일 참조)
  - 제출 기한: 5월 3일 오후 5시
  - 제출처: SW 중심대학 사업단(기계관 428호, 02-300-0469, 김수한 연구원)
  ※ 선발 학생은 추후 TOPCIT 성적(300점 이상자 우대), 재학증명서, 영어 성적 등 증명서 사본 제출
  ※ 선발은 IITP에서 직접 시행, 전국 SW 중심대학 사업 참여 대학에서 총 30명 선발 예정
 ■ 일정 안내 
  - 5월 15일 : 선발 결과 통보
  - 5월 19일 : 선발자 참여의사 확인서 제출
  - 5월 22일 - 8월 25일 : 비자서류 발급 및 대사관 면접
  - 9월 4일 : 출국
 ■ 문의처:  SW 중심대학 사업단(02-300-0469)","작성일
2023-04-24","작성자
소프트웨어학과",[],http://college.kau.ac.kr/web/pages/gc911b.do
